time_window_start,total_packets,total_bytes,packets_per_second,bytes_per_second,avg_packet_size,std_packet_size,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,fin_count,rst_count,syn_ack_ratio,unique_dst_ports,port_diversity,unique_src_ips,unique_dst_ips,unique_connections
85.0,824,1247536,824.0,1247536.0,1514.0,1432.9669210560396,1.0,0.0,0.0,0,824,0,0,0.0,2,0.9996557530988982,2,2,2
86.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,1.0,0.0,0.0,0,826,0,0,0.0,2,0.9996574182663092,2,2,2
87.0,829,1252226,829.0,1252226.0,1510.5259348612788,1432.1506861335347,1.0,0.0,0.0,2,828,0,0,0.0024154589371980675,4,0.5120370653016378,2,2,2
88.0,825,1247610,825.0,1247610.0,1512.2545454545455,1432.9744129389358,1.0,0.0,0.0,1,825,0,0,0.0012121212121212121,3,0.6384599277654085,2,2,2
89.0,830,1252374,830.0,1252374.0,1508.8843373493976,1431.8594189138928,1.0,0.0,0.0,0,830,1,0,0.0,4,0.5262686636518777,2,2,2
90.0,827,1249182,827.0,1249182.0,1510.4981862152358,1432.1315708606476,1.0,0.0,0.0,0,827,0,0,0.0,3,0.6384449076495461,2,2,2
91.0,825,1250498,825.0,1250498.0,1515.7551515151515,1432.984184485709,1.0,0.0,0.0,0,825,0,0,0.0,2,0.9996173668674234,2,2,2
92.0,830,1250828,830.0,1250828.0,1507.021686746988,1433.0592806374189,1.0,0.0,0.0,0,830,1,0,0.0,4,0.5213896759802186,2,2,2
93.0,825,1249050,825.0,1249050.0,1514.0,1432.0971383227582,1.0,0.0,0.0,0,825,0,0,0.0,2,0.9996173668674234,2,2,2
94.0,826,1250564,826.0,1250564.0,1514.0,1433.00355557934,1.0,0.0,0.0,0,826,0,0,0.0,2,0.9996574182663092,2,2,2
95.0,826,1247684,826.0,1247684.0,1510.5133171912832,1432.9797657026936,1.0,0.0,0.0,2,825,0,0,0.0024242424242424242,4,0.5120933597506487,2,2,2
96.0,863,1205230,863.0,1205230.0,1396.558516801854,1210.3910121585795,1.0,0.0,0.0,1,863,0,0,0.0011587485515643105,3,0.6170501411334451,2,2,2
97.0,917,1256668,917.0,1256668.0,1370.4122137404581,1194.755525861066,1.0,0.0,0.0,0,917,1,0,0.0,4,0.5115533621338705,2,2,2
